"","tissue","sample","technology","gene","cell_type","Z_score","log_fc","se","p_val","bias","xchr"
"151","Hippocampus","Mouse 1","Slide-seq","Scn3b","CA3",5.36914577345656,0.80586270470774,0.150091418395023,7.91104567557167e-08,"maternal",FALSE
"152","Hippocampus","Mouse 1","Slide-seq","Pgm2l1","CA3",5.29509840438138,0.416850299030038,0.0787238059041771,1.18952337023866e-07,"maternal",FALSE
"153","Hippocampus","Mouse 1","Slide-seq","Nsa2","CA3",5.28078122711214,0.78897958111613,0.149405844927909,1.28634213672857e-07,"maternal",FALSE
"154","Hippocampus","Mouse 1","Slide-seq","Pkm","CA3",5.27798247470134,0.335091822557461,0.0634886197829641,1.30613953354411e-07,"maternal",FALSE
"155","Hippocampus","Mouse 1","Slide-seq","Tpm1","CA3",5.22312967107703,-1.32240175941164,0.253181874218902,1.75924102923153e-07,"paternal",FALSE
"156","Hippocampus","Mouse 1","Slide-seq","Syn2","CA3",5.18481661651427,-0.475842283837548,0.0917761068582315,2.1622751830027e-07,"paternal",FALSE
"157","Hippocampus","Mouse 1","Slide-seq","Hypk","CA3",5.11708587055562,-3.66520448192101,0.716267925658835,3.10292376612778e-07,"paternal",FALSE
"158","Hippocampus","Mouse 1","Slide-seq","Camk2a","CA3",4.98471907438757,-0.387942435196296,0.0778263387378474,6.20519031465619e-07,"paternal",FALSE
"159","Hippocampus","Mouse 1","Slide-seq","Rpl15","CA3",4.81608445361586,-1.25527615746922,0.260642472024504,1.46402580388515e-06,"paternal",FALSE
"160","Hippocampus","Mouse 1","Slide-seq","Gdi2","CA3",4.77675611992315,-1.62818602251611,0.340856008060615,1.78145611903552e-06,"paternal",FALSE
"161","Hippocampus","Mouse 1","Slide-seq","Olfm1","CA3",4.7104911787292,0.241922773631293,0.0513582903463921,2.47120496392777e-06,"maternal",FALSE
"162","Hippocampus","Mouse 1","Slide-seq","Rnf112","CA3",4.66452040518241,0.52606512909268,0.112780111007384,3.09337637250897e-06,"maternal",FALSE
"163","Hippocampus","Mouse 1","Slide-seq","Nsf","CA3",4.65426060689187,-0.323554637303788,0.0695179459492835,3.25145353315004e-06,"paternal",FALSE
"164","Hippocampus","Mouse 1","Slide-seq","Krit1","CA3",4.58622330334764,-1.45525197369834,0.317309445581531,4.51335870149387e-06,"paternal",FALSE
"165","Hippocampus","Mouse 1","Slide-seq","Snx10","CA3",4.58568772363056,-0.756879558444792,0.16505257314939,4.52494496161167e-06,"paternal",FALSE
"166","Hippocampus","Mouse 1","Slide-seq","Efr3a","CA3",4.56542062232632,-0.649480623075615,0.142260851037351,4.98493798441381e-06,"paternal",FALSE
"167","Hippocampus","Mouse 1","Slide-seq","Cnih1","CA3",4.55582396918588,-1.29912655406656,0.285157320136475,5.21806226961504e-06,"paternal",FALSE
"168","Hippocampus","Mouse 1","Slide-seq","Ndrg4","CA3",4.54441489824177,-0.506488873701305,0.111453044020533,5.50880575137295e-06,"paternal",FALSE
"169","Hippocampus","Mouse 1","Slide-seq","Enc1","CA3",4.46560583215176,0.316330860071004,0.0708371656525223,7.98424912431394e-06,"maternal",FALSE
"170","Hippocampus","Mouse 1","Slide-seq","Prps1","CA3",4.45724571460355,-0.821354199603498,0.184273933319952,8.30194252814796e-06,"paternal",TRUE
