gene_id	gene_name
1130	4930597O21Rik
1131	4930598N05Rik
1132	4930599A14Rik
1133	4930599N23Rik
1134	4930599N24Rik
1135	4931400O07Rik
1136	4931406B18Rik
1137	4931406C07Rik
1138	4931406G06Rik
1139	4931406P16Rik
1140	4931408C20Rik
1141	4931412I15Rik
1142	4931413I07Rik
1143	4931413K12Rik
1144	4931414P19Rik
1145	4931415C17Rik
1146	4931419H13Rik
1147	4931422A03Rik
1148	4931428F04Rik
1149	4931428L18Rik
1150	4931429L15Rik
1151	4931429P17Rik
1152	4931431B13Rik
1153	4931431C16Rik
1154	4931440P22Rik
1155	4932411K12Rik
1156	4932411N23Rik
1157	4932412D23Rik
1158	4932413F04Rik
1159	4932414J04Rik
1160	4932414N04Rik
1161	4932415D10Rik
1162	4932415M13Rik
1163	4932416K20Rik
1164	4932422M17Rik
1165	4932429P05Rik
1166	4932431P20Rik
1167	4932435O22Rik
1168	4932438A13Rik
1169	4932438H23Rik
1170	4932441J04Rik
1171	4932442E05Rik
1172	4932443L11Rik
1173	4932702P03Rik
1174	4933400A11Rik
1175	4933400C23Rik
1176	4933400F21Rik
1177	4933401J01Rik
1178	4933402C06Rik
1179	4933402D24Rik
1180	4933402E13Rik
1181	4933402J07Rik
1182	4933402J10Rik
1183	4933402N03Rik
1184	4933403L11Rik
1185	4933403O08Rik
1186	4933404I11Rik
1187	4933404O12Rik
1188	4933405D12Rik
1189	4933405E24Rik
1190	4933405L10Rik
1191	4933405O20Rik
1192	4933406C10Rik
1193	4933406G16Rik
1194	4933406I18Rik
1195	4933406J09Rik
1196	4933406J10Rik
1197	4933406K04Rik
1198	4933406L23Rik
1199	4933406P04Rik
1200	4933407E24Rik
1201	4933407I08Rik
1202	4933407K13Rik
1203	4933407L21Rik
1204	4933408A14Rik
1205	4933408J17Rik
1206	4933408N05Rik
1207	4933409D19Rik
1208	4933409G03Rik
1209	4933411E06Rik
1210	4933411G06Rik
1211	4933411K16Rik
1212	4933411O13Rik
